metric,orientation,n_targets,total_models,avg_pearson_coef,std_pearson_coef,avg_pearson_pvalue,avg_spearman_coef,std_spearman_coef,avg_spearman_pvalue,avg_kendall_coef,std_kendall_coef,avg_kendall_pvalue,min_pearson,max_pearson,min_spearman,max_spearman,min_kendall,max_kendall
DI_all,False,63,4680,0.6655,0.2227,0.012,0.756,0.2255,0.0113,0.6017,0.1944,0.0132,-0.3731,0.9448,-0.454,0.9643,-0.3149,0.8435
RMSD,False,63,4680,0.6776,0.2502,0.0234,0.6953,0.266,0.0218,0.5477,0.2209,0.0268,-0.4607,0.9624,-0.5316,0.9552,-0.3749,0.839
P-value,False,63,4680,0.375,0.2144,0.0728,0.6561,0.231,0.0324,0.5219,0.1955,0.0362,-0.1961,0.9476,-0.0699,0.9549,0.0076,0.8384
INF_all,True,63,4680,0.5765,0.2721,0.0521,0.6135,0.2204,0.0457,0.4595,0.1791,0.0491,-0.2907,0.9563,-0.053,0.9319,-0.0223,0.7754
TM-score,True,61,4591,0.6394,0.2822,0.054,0.5906,0.2678,0.0738,0.4507,0.2182,0.0686,-0.1841,0.9827,-0.2393,0.9701,-0.1962,0.8686
INF_stacking,True,56,4107,0.5512,0.2715,0.0535,0.561,0.244,0.0372,0.4127,0.1877,0.038,-0.2092,0.9596,-0.2287,0.8921,-0.1506,0.7095
INF_wc,True,42,2396,0.5168,0.2776,0.0806,0.4807,0.3129,0.1193,0.366,0.2481,0.1274,-0.359,0.9435,-0.3213,0.8814,-0.2366,0.7102
mcq,False,63,4680,0.3561,0.2745,0.0983,0.3836,0.3061,0.1266,0.2722,0.2192,0.1202,-0.408,0.8408,-0.425,0.8412,-0.2886,0.6174
Clash_Score,False,63,4680,0.181,0.3612,0.1922,0.1086,0.3263,0.1668,0.07,0.2297,0.1782,-0.7423,0.8151,-0.5323,0.705,-0.4058,0.5597
